AC,BC,(Bc-Ac)/Ac,%Decrease
11966,284748,0.957976878,95.79768778
12186,284748,0.957204265,95.72042648
12690,284748,0.955434279,95.54342787
13004,284748,0.954331549,95.43315493
13054,284748,0.954155955,95.41559554
13310,284748,0.953256915,95.32569149
13472,284748,0.952687991,95.26879908
13640,284748,0.952097995,95.20979954
13878,284748,0.951262169,95.12621687
13972,284748,0.950932052,95.09320522
13994,284748,0.950854791,95.08547909
14298,284748,0.94978718,94.97871802
14171,284748,0.950233189,95.02331886
14263,284748,0.949910096,94.99100959
14789,284748,0.948062849,94.80628486
14783,284748,0.94808392,94.80839198
14657,284748,0.948526416,94.85264163
14465,284748,0.949200697,94.92006968
14697,284748,0.948385941,94.83859413
14420,284748,0.949358731,94.93587312
14598,284748,0.948733617,94.87336171
14720,284748,0.948305168,94.83051681
14583,284748,0.948786295,94.87862953
15347,284748,0.946103221,94.61032211
15202,284748,0.946612443,94.66124433
15398,284748,0.945924115,94.59241154
15464,284748,0.945692331,94.56923315
15536,284748,0.945439476,94.54394763
15529,284748,0.945464059,94.54640594
15662,284748,0.94499698,94.49969798
15931,284748,0.944052285,94.40522848
16073,284748,0.943553598,94.35535983
16125,284748,0.943370981,94.33709807
16169,284748,0.943216458,94.32164581
16281,284748,0.942823128,94.28231278
16187,284748,0.943153244,94.31532443
16103,284748,0.943448242,94.3448242
16051,284748,0.94363086,94.36308596
16032,284748,0.943697585,94.36975852
15909,284748,0.944129546,94.41295461
15823,284748,0.944431568,94.44315676
15672,284748,0.944961861,94.4961861
15438,284748,0.94578364,94.57836403
15401,284748,0.94591358,94.59135797
14504,284748,0.949063734,94.90637335
14591,284748,0.9487582,94.87582002
14831,284748,0.94791535,94.79153497
14654,284748,0.948536952,94.8536952
14779,284748,0.948097967,94.80979673
14856,284748,0.947827553,94.78275528
14700,284748,0.948375406,94.83754056
14811,284748,0.947985587,94.79855873
14726,284748,0.948284097,94.82840968
14789,284748,0.948062849,94.80628486
14851,284748,0.947845112,94.78451122
14893,284748,0.947697613,94.76976133
14946,284748,0.947511484,94.75114838
14547,284748,0.948912723,94.89127228
14489,284748,0.949116412,94.91164117
14384,284748,0.949485159,94.94851588
14142,284748,0.950335033,95.03350331
13975,284748,0.950921517,95.09215166
14278,284748,0.949857418,94.98574178
14332,284748,0.949667776,94.96677764
14647,284748,0.948561535,94.85615351
14786,284748,0.948073384,94.80733842
14938,284748,0.947539579,94.75395789
14768,284748,0.948136598,94.8136598
14906,284748,0.947651959,94.76519589
15112,284748,0.946928512,94.69285122
15071,284748,0.947072499,94.70724992
15215,284748,0.946566789,94.65667889
15167,284748,0.946735359,94.6735359
15018,284748,0.947258629,94.72586287
15033,284748,0.947205951,94.72059505
14826,284748,0.947932909,94.79329091
14887,284748,0.947718685,94.77186846
14684,284748,0.948431596,94.84315957
14640,284748,0.948586118,94.85861183
15220,284748,0.946549229,94.65492295
15039,284748,0.947184879,94.71848793
14991,284748,0.947353449,94.73534494
14859,284748,0.947817017,94.78170172
14705,284748,0.948357846,94.83578462
14448,284748,0.949260399,94.92603987
14395,284748,0.949446528,94.94465282
14402,284748,0.949421945,94.9421945
13980,284748,0.950903957,95.09039572
13729,284748,0.951785438,95.17854384
13597,284748,0.952249006,95.22490061
13494,284748,0.952610729,95.26107295
13299,284748,0.953295546,95.32955455
13466,284748,0.952709062,95.2709062
13493,284748,0.952614241,95.26142414
13521,284748,0.952515909,95.25159088
13718,284748,0.951824069,95.1824069
13907,284748,0.951160324,95.11603242
13952,284748,0.95100229,95.10022897
14074,284748,0.950573841,95.05738407
14140,284748,0.950342057,95.03420568
14210,284748,0.950096225,95.00962254
14097,284748,0.950493068,95.04930676
14011,284748,0.950795089,95.0795089
14082,284748,0.950545746,95.05457457
14009,284748,0.950802113,95.08021127
13792,284748,0.95156419,95.15641901
13889,284748,0.951223538,95.1223538
13741,284748,0.951743296,95.17432958
13774,284748,0.951627404,95.16274039
13586,284748,0.952287637,95.22876368
13499,284748,0.95259317,95.25931701
13548,284748,0.952421088,95.24210881
13439,284748,0.952803883,95.28038827
13410,284748,0.952905727,95.29057272
13157,284748,0.953794232,95.37942321
12991,284748,0.954377204,95.43772037
12542,284748,0.955954037,95.59540366
12320,284748,0.956733673,95.67336733
11999,284748,0.957860986,95.78609859
11893,284748,0.958233245,95.82332448
11597,284748,0.95927276,95.92727605
11300,284748,0.960315788,96.0315788
10971,284748,0.961471196,96.14711956
10479,284748,0.963199039,96.31990392
10060,284748,0.964670516,96.46705157
9684,284748,0.965990981,96.59909815
9256,284748,0.967494065,96.74940649
8936,284748,0.968617866,96.86178656
8156,284748,0.97135713,97.13571298
7328,284748,0.974264964,97.42649641
7070,284748,0.975171028,97.51710284
6730,284748,0.976365067,97.63650667
6500,284748,0.977172798,97.71727984
6114,284748,0.978528383,97.8528383
5943,284748,0.979128914,97.9128914
5890,284748,0.979315043,97.93150435
5733,284748,0.979866408,97.98664082
5585,284748,0.980386166,98.0386166
5479,284748,0.980758425,98.0758425
5349,284748,0.981214969,98.1214969
5224,284748,0.981653954,98.16539537
5183,284748,0.981797941,98.17979406
4976,284748,0.982524899,98.25248992
4925,284748,0.982704005,98.27040049
4730,284748,0.983388821,98.3388821
4600,284748,0.983845365,98.3845365
4463,284748,0.984326492,98.43264922
4292,284748,0.984927023,98.49270232
4150,284748,0.98542571,98.54257098
3915,284748,0.986251001,98.62510009
3719,284748,0.986939329,98.69393288
3494,284748,0.987729501,98.77295012
3159,284748,0.98890598,98.890598
2840,284748,0.990026269,99.00262688
2590,284748,0.990904238,99.09042381
2339,284748,0.991785719,99.17857193
2206,284748,0.992252799,99.2252799
2074,284748,0.992716367,99.27163668
1936,284748,0.993201006,99.32010058
1808,284748,0.993650526,99.36505261
1785,284748,0.993731299,99.37312993
1754,284748,0.993840167,99.38401674
1705,284748,0.994012249,99.40122494
1658,284748,0.994177308,99.41773077
1643,284748,0.994229986,99.42299858
1558,284748,0.994528495,99.45284954
1509,284748,0.994700577,99.47005774
1452,284748,0.994900754,99.49007544
1398,284748,0.995090396,99.50903957
1322,284748,0.995357298,99.53572984
14749,284748,0.948203324,94.82033236
14799,284748,0.94802773,94.80277298
14790,284748,0.948059337,94.80593367
14650,284748,0.948550999,94.85509995
14589,284748,0.948765224,94.8765224
14414,284748,0.949379802,94.93798025
14553,284748,0.948891652,94.88916516
14409,284748,0.949397362,94.93973619
14669,284748,0.948484274,94.84842738
14555,284748,0.948884628,94.88846278
14773,284748,0.948119039,94.81190386
14628,284748,0.948628261,94.86282608
14598,284748,0.948733617,94.87336171
14593,284748,0.948751176,94.87511765
14709,284748,0.948343799,94.83437987
14885,284748,0.947725708,94.77257083
15006,284748,0.947300771,94.73007712
15194,284748,0.946640538,94.66405383
15258,284748,0.946415778,94.64157782
15378,284748,0.945994353,94.59943529
15379,284748,0.945990841,94.5990841
15570,284748,0.945320072,94.53200725
15466,284748,0.945685308,94.56853077
15489,284748,0.945604535,94.56045345
15631,284748,0.945105848,94.5105848
15457,284748,0.945716915,94.57169146
15381,284748,0.945983817,94.59838173
15571,284748,0.945316561,94.53165606
15705,284748,0.944845969,94.48459691
15934,284748,0.944041749,94.40417492
16069,284748,0.943567646,94.35676458
16023,284748,0.943729192,94.37291921
16037,284748,0.943680026,94.36800258
16214,284748,0.943058424,94.30584236
16232,284748,0.94299521,94.29952098
16237,284748,0.94297765,94.29776504
16025,284748,0.943722168,94.37221684
16078,284748,0.943536039,94.35360389
16000,284748,0.943809965,94.38099653
15999,284748,0.943813477,94.38134772
15826,284748,0.944421032,94.44210319
15652,284748,0.945032099,94.50320986
15533,284748,0.945450012,94.54500119
15527,284748,0.945471083,94.54710832
15364,284748,0.946043519,94.60435192
15086,284748,0.947019821,94.7019821
15030,284748,0.947216486,94.72164862
14965,284748,0.947444758,94.74447582
14544,284748,0.948923258,94.89232585
14399,284748,0.949432481,94.94324806
14418,284748,0.949365755,94.9365755
14217,284748,0.950071642,95.00716423
13941,284748,0.95104092,95.10409204
13802,284748,0.951529071,95.15290713
13620,284748,0.952168233,95.2168233
13487,284748,0.952635313,95.26353126
13437,284748,0.952810906,95.28109065
13439,284748,0.952803883,95.28038827
13497,284748,0.952600194,95.26001939
13583,284748,0.952298172,95.22981724
13716,284748,0.951831093,95.18310928
13876,284748,0.951269192,95.12691924
13836,284748,0.951409667,95.14096675
13934,284748,0.951065504,95.10655035
14132,284748,0.950370152,95.03701519
14285,284748,0.949832835,94.98328346
14136,284748,0.950356104,95.03561043
13942,284748,0.951037409,95.10374085
14070,284748,0.950587888,95.05878882
14055,284748,0.950640566,95.06405664
13785,284748,0.951588773,95.15887732
14012,284748,0.950791577,95.07915771
13658,284748,0.952034782,95.20347816
13783,284748,0.951595797,95.1595797
13571,284748,0.952340315,95.23403149
13539,284748,0.952452695,95.2452695
13524,284748,0.952505373,95.25053732
13516,284748,0.952533468,95.25334682
13474,284748,0.952680967,95.2680967
13093,284748,0.954018992,95.40189922
12956,284748,0.954500119,95.45001194
12778,284748,0.955125234,95.51252335
12586,284748,0.955799514,95.5799514
12017,284748,0.957797772,95.77977721
11908,284748,0.958180567,95.81805667
11541,284748,0.959469426,95.94694256
11342,284748,0.960168289,96.01682892
10922,284748,0.961643278,96.16432776
10524,284748,0.963041005,96.30410047
9999,284748,0.96488474,96.48847402
9736,284748,0.965808364,96.58083639
9314,284748,0.967290376,96.72903761
